name,links,images
PyTorch Geometric Temporal,"['https://codecov.io/gh/benedekrozemberczki/pytorch_geometric_temporal/branch/master/graph/badge.svg', 'https://codecov.io/github/benedekrozemberczki/pytorch_geometric_temporal?branch=master', 'https://pytorch-geometric-temporal.readthedocs.io/en/latest/), each covers an aspect of pytorch geometric temporal’s functionality.']",['https://codecov.io/gh/benedekrozemberczki/pytorch_geometric_temporal/branch/master/graph/badge.svg']
Little Ball of Fur,"['https://badge.fury.io/py/littleballoffur.svg?style=plastic) [![repo size](https://img.shields.io/github/repo-size/benedekrozemberczki/littleballoffur.svg)](https://github.com/benedekrozemberczki/littleballoffur/archive/master.zip) [![arxiv](https://img.shields.io/badge/arxiv-2006.04311-orange.svg)](https://arxiv.org/abs/2006.04311) [![build badge](https://github.com/benedekrozemberczki/littleballoffur/workflows/ci/badge.svg)](https://github.com/benedekrozemberczki/littleballoffur/actions?query=workflow%3aci) [![coverage badge](https://codecov.io/gh/benedekrozemberczki/littleballoffur/branch/master/graph/badge.svg)](https://codecov.io/github/benedekrozemberczki/littleballoffur?branch=master) [![benedekrozemberczki](https://img.shields.io/twitter/follow/benrozemberczki?style=social&logo=twitter)](https://twitter.com/intent/follow?screen_name=benrozemberczki)', 'https://little-ball-of-fur.readthedocs.io/en/latest/modules/exploration_sampling.html#littleballoffur.exploration_sampling.looperasedrandomwalksampler.looperasedrandomwalksampler)** from wilson: [generating random spanning trees more quickly than the cover time](https://link.springer.com/chapter/10.1007/978-1-4612-2168-5_12) (stoc 1996)']",['https://badge.fury.io/py/littleballoffur.svg?style=plastic) [![repo size](https://img.shields.io/github/repo-size/benedekrozemberczki/littleballoffur.svg)](https://github.com/benedekrozemberczki/littleballoffur/archive/master.zip) [![arxiv](https://img.shields.io/badge/arxiv-2006.04311-orange.svg)](https://arxiv.org/abs/2006.04311) [![build badge](https://github.com/benedekrozemberczki/littleballoffur/workflows/ci/badge.svg)](https://github.com/benedekrozemberczki/littleballoffur/actions?query=workflow%3aci) [![coverage badge](https://codecov.io/gh/benedekrozemberczki/littleballoffur/branch/master/graph/badge.svg']
Karate Club,['https://codecov.io/gh/benedekrozemberczki/karateclub/branch/master/graph/badge.svg)](https://codecov.io/github/benedekrozemberczki/karateclub?branch=master)'],['https://codecov.io/gh/benedekrozemberczki/karateclub/branch/master/graph/badge.svg']
PyOD,"['https://coveralls.io/repos/github/yzhao062/pyod/badge.svg', 'https://coveralls.io/github/yzhao062/pyod']",['https://coveralls.io/repos/github/yzhao062/pyod/badge.svg']
auto_ml,['https://coveralls.io/repos/github/climbsrocks/auto_ml/badge.svg?branch=master&cachebuster=1)](https://coveralls.io/github/climbsrocks/auto_ml?branch=master&cachebuster=1)'],['https://coveralls.io/repos/github/climbsrocks/auto_ml/badge.svg']
machine learning,['https://travis-ci.org/jeff1evesque/machine-learning.svg?branch=master)](https://travis-ci.org/jeff1evesque/machine-learning) [![coverage status](https://coveralls.io/repos/github/jeff1evesque/machine-learning/badge.svg?branch=master)](https://coveralls.io/github/jeff1evesque/machine-learning?branch=master)'],['https://travis-ci.org/jeff1evesque/machine-learning.svg?branch=master)](https://travis-ci.org/jeff1evesque/machine-learning) [![coverage status](https://coveralls.io/repos/github/jeff1evesque/machine-learning/badge.svg']
XGBoost,"['http://arxiv.org/abs/1603.02754). in 22nd sigkdd conference on knowledge discovery and data mining, 2016']",[]
Apache SINGA,['https://codecov.io/gh/apache/singa/branch/master/graph/badge.svg)](https://codecov.io/gh/apache/singa)'],['https://codecov.io/gh/apache/singa/branch/master/graph/badge.svg']
Towhee,"['https://app.codecov.io/gh/towhee-io/towhee"">', 'https://img.shields.io/codecov/c/github/towhee-io/towhee?style=flat"" alt=""coverage""/>']",[]
scikit-learn,"['https://codecov.io/gh/scikit-learn/scikit-learn/branch/main/graph/badge.svg?token=pk8g9gg3y9', 'https://codecov.io/gh/scikit-learn/scikit-learn', 'https://scikit-learn.org/dev/developers/contributing.html#testing-and-improving-test-coverage']",['https://codecov.io/gh/scikit-learn/scikit-learn/branch/main/graph/badge.svg']
metric-learn,"['https://codecov.io/gh/scikit-learn-contrib/metric-learn/branch/master/graph/badge.svg', 'https://codecov.io/gh/scikit-learn-contrib/metric-learn']",['https://codecov.io/gh/scikit-learn-contrib/metric-learn/branch/master/graph/badge.svg']
Intel(R) Extension for Scikit-learn,['https://scan.coverity.com/projects/21716/badge.svg)](https://scan.coverity.com/projects/daal4py)'],['https://scan.coverity.com/projects/21716/badge.svg']
Lasagne,"['https://img.shields.io/coveralls/lasagne/lasagne.svg', 'https://coveralls.io/r/lasagne/lasagne']",['https://img.shields.io/coveralls/lasagne/lasagne.svg']
Chainer,['https://img.shields.io/coveralls/chainer/chainer.svg)](https://coveralls.io/github/chainer/chainer)'],['https://img.shields.io/coveralls/chainer/chainer.svg']
topik,['https://coveralls.io/repos/continuumio/topik/badge.svg?branch=master&service=github)](https://coveralls.io/github/continuumio/topik?branch=master)'],['https://coveralls.io/repos/continuumio/topik/badge.svg']
nilearn,"['https://codecov.io/gh/nilearn/nilearn/branch/main/graph/badge.svg', 'https://codecov.io/gh/nilearn/nilearn']",['https://codecov.io/gh/nilearn/nilearn/branch/main/graph/badge.svg']
imbalanced-learn,"['https://codecov.io/gh/scikit-learn-contrib/imbalanced-learn/branch/master/graph/badge.svg', 'https://codecov.io/gh/scikit-learn-contrib/imbalanced-learn']",['https://codecov.io/gh/scikit-learn-contrib/imbalanced-learn/branch/master/graph/badge.svg']
SKLL,"['https://codecov.io/gh/educationaltestingservice/skll/branch/main/graph/badge.svg', 'https://codecov.io/gh/educationaltestingservice/skll']",['https://codecov.io/gh/educationaltestingservice/skll/branch/main/graph/badge.svg']
TensorFlow,['https://img.shields.io/badge/contributor%20covenant-v1.4%20adopted-ff69b4.svg)](code_of_conduct.md)'],['https://img.shields.io/badge/contributor%20covenant-v1.4%20adopted-ff69b4.svg']
mlxtend,['https://codecov.io/gh/rasbt/mlxtend/branch/master/graph/badge.svg)](https://codecov.io/gh/rasbt/mlxtend)'],['https://codecov.io/gh/rasbt/mlxtend/branch/master/graph/badge.svg']
TPOT,"['https://coveralls.io/repos/github/epistasislab/tpot/badge.svg?branch=master)](https://coveralls.io/github/epistasislab/tpot?branch=master)', 'https://coveralls.io/repos/github/epistasislab/tpot/badge.svg?branch=development)](https://coveralls.io/github/epistasislab/tpot?branch=development)']","['https://coveralls.io/repos/github/epistasislab/tpot/badge.svg', 'https://coveralls.io/repos/github/epistasislab/tpot/badge.svg']"
Orange,['https://img.shields.io/endpoint.svg?url=https%3a%2f%2factions-badge.atrox.dev%2fbiolab%2forange3%2fbadge&label=build)](https://actions-badge.atrox.dev/biolab/orange3/goto) [![codecov](https://img.shields.io/codecov/c/github/biolab/orange3)](https://codecov.io/gh/biolab/orange3) [![contributor count](https://img.shields.io/github/contributors-anon/biolab/orange3)](https://github.com/biolab/orange3/graphs/contributors) [![latest github commit](https://img.shields.io/github/last-commit/biolab/orange3)](https://github.com/biolab/orange3/commits/master)'],[]
fuku-ml,"['https://codecov.io/github/fukuball/fuku-ml/coverage.svg?branch=master', 'https://codecov.io/github/fukuball/fuku-ml?branch=master']",['https://codecov.io/github/fukuball/fuku-ml/coverage.svg']
PyTorch Lightning,['https://codecov.io/gh/lightning-ai/lightning/branch/master/graph/badge.svg?token=smzx8mnkla)](https://codecov.io/gh/lightning-ai/lightning)'],['https://codecov.io/gh/lightning-ai/lightning/branch/master/graph/badge.svg']
PyTorch Lightning Bolts,['https://codecov.io/gh/lightning-ai/lightning-bolts/branch/master/graph/badge.svg?token=o8p0qhvj90)](https://codecov.io/gh/lightning-ai/lightning-bolts)'],['https://codecov.io/gh/lightning-ai/lightning-bolts/branch/master/graph/badge.svg']
skorch,['https://github.com/skorch-dev/skorch/blob/master/assets/coverage.svg'],['https://github.com/skorch-dev/skorch/blob/master/assets/coverage.svg']
Edward,['https://coveralls.io/repos/github/blei-lab/edward/badge.svg?branch=master&cachebuster=1)](https://coveralls.io/github/blei-lab/edward?branch=master)'],['https://coveralls.io/repos/github/blei-lab/edward/badge.svg']
modAL,['https://travis-ci.org/modal-python/modal.svg?branch=master)](https://travis-ci.org/modal-python/modal) [![codecov-master](https://codecov.io/gh/modal-python/modal/branch/master/graph/badge.svg)](https://codecov.io/gh/modal-python/modal) [![readthedocs](https://readthedocs.org/projects/modal-python/badge/?version=latest)](http://modal-python.readthedocs.io/en/latest/?badge=latest)'],['https://travis-ci.org/modal-python/modal.svg?branch=master)](https://travis-ci.org/modal-python/modal) [![codecov-master](https://codecov.io/gh/modal-python/modal/branch/master/graph/badge.svg']
Cogitare,"['https://codecov.io/gh/cogitare-ai/cogitare"">', 'https://codecov.io/gh/cogitare-ai/cogitare/branch/master/graph/badge.svg"" />']",['https://codecov.io/gh/cogitare-ai/cogitare/branch/master/graph/badge.svg']
mlens,['https://coveralls.io/repos/github/flennerhag/mlens/badge.svg?branch=master)](https://coveralls.io/github/flennerhag/mlens?branch=master)'],['https://coveralls.io/repos/github/flennerhag/mlens/badge.svg']
StellarGraph,"['https://codecov.io/gh/stellargraph/stellargraph""><img src=""https://codecov.io/gh/stellargraph/stellargraph/branch/develop/graph/badge.svg"" /></a>', 'https://medium.com/stellargraph/knowing-your-neighbours-machine-learning-on-graphs-9b7c3d0d5896), making it easy to discover patterns and answer questions about graph-structured data. it can solve many machine learning tasks:']","['https://codecov.io/gh/stellargraph/stellargraph""><img src=""https://codecov.io/gh/stellargraph/stellargraph/branch/develop/graph/badge.svg']"
Cornac,['https://img.shields.io/codecov/c/github/preferredai/cornac/master.svg?logo=codecov)](https://codecov.io/gh/preferredai/cornac)'],['https://img.shields.io/codecov/c/github/preferredai/cornac/master.svg']
scikit-multiflow,['https://codecov.io/gh/scikit-multiflow/scikit-multiflow/branch/master/graph/badge.svg)](https://codecov.io/gh/scikit-multiflow/scikit-multiflow)'],['https://codecov.io/gh/scikit-multiflow/scikit-multiflow/branch/master/graph/badge.svg']
bayeso,['https://coveralls.io/repos/github/jungtaekkim/bayeso/badge.svg?branch=main)](https://coveralls.io/github/jungtaekkim/bayeso?branch=main)'],['https://coveralls.io/repos/github/jungtaekkim/bayeso/badge.svg']
sktime,['https://img.shields.io/github/actions/workflow/status/sktime/sktime/wheels.yml?logo=github)](https://github.com/sktime/sktime/actions/workflows/wheels.yml) [![!codecov](https://img.shields.io/codecov/c/github/sktime/sktime?label=codecov&logo=codecov)](https://codecov.io/gh/sktime/sktime) [![readthedocs](https://img.shields.io/readthedocs/sktime?logo=readthedocs)](https://www.sktime.org/en/latest/?badge=latest) [![platform](https://img.shields.io/conda/pn/conda-forge/sktime)](https://github.com/sktime/sktime) |'],[]
Gradio,"['https://codecov.io/gh/gradio-app/gradio/branch/master/graph/badge.svg"" alt=""codecov"">](https://app.codecov.io/gh/gradio-app/gradio)']",['https://codecov.io/gh/gradio-app/gradio/branch/master/graph/badge.svg']
Hub,"['https://codecov.io/gh/activeloopai/hub/branch/master""><img src=""https://codecov.io/gh/activeloopai/hub/branch/master/graph/badge.svg"" alt=""codecov"" height=""18""></a>']","['https://codecov.io/gh/activeloopai/hub/branch/master""><img src=""https://codecov.io/gh/activeloopai/hub/branch/master/graph/badge.svg']"
FEDOT,"['https://codecov.io/gh/nccr-itmo/fedot/branch/master/graph/badge.svg', 'https://codecov.io/gh/nccr-itmo/fedot']",['https://codecov.io/gh/nccr-itmo/fedot/branch/master/graph/badge.svg']
Sklearn-genetic-opt,"['https://codecov.io/gh/rodrigo-arenas/sklearn-genetic-opt/branch/master/graphs/badge.svg?branch=master&service=github', 'https://codecov.io/github/rodrigo-arenas/sklearn-genetic-opt?branch=master']",['https://codecov.io/gh/rodrigo-arenas/sklearn-genetic-opt/branch/master/graphs/badge.svg']
Optuna,['https://codecov.io/gh/optuna/optuna/branch/master/graph/badge.svg)](https://codecov.io/gh/optuna/optuna/branch/master)'],['https://codecov.io/gh/optuna/optuna/branch/master/graph/badge.svg']
Deepchecks,['https://coveralls.io/repos/github/deepchecks/deepchecks/badge.svg?branch=main)](https://coveralls.io/github/deepchecks/deepchecks?branch=main)'],['https://coveralls.io/repos/github/deepchecks/deepchecks/badge.svg']
Mars,"['https://codecov.io/gh/mars-project/mars/branch/master/graph/badge.svg', 'https://codecov.io/gh/mars-project/mars']",['https://codecov.io/gh/mars-project/mars/branch/master/graph/badge.svg']
NetworkX,"['https://codecov.io/gh/networkx/networkx/branch/main/graph/badge.svg', 'https://app.codecov.io/gh/networkx/networkx/branch/main']",['https://codecov.io/gh/networkx/networkx/branch/main/graph/badge.svg']
Pandas,['https://codecov.io/github/pandas-dev/pandas/coverage.svg?branch=main)](https://codecov.io/gh/pandas-dev/pandas)'],['https://codecov.io/github/pandas-dev/pandas/coverage.svg']
Open Mining,"['https://coveralls.io/repos/github/mining/mining/badge.svg?branch=master', 'https://coveralls.io/github/mining/mining?branch=master']",['https://coveralls.io/repos/github/mining/mining/badge.svg']
PyMC,"[""https://www.learnbayesstats.com/>`__ helps you discover and stay up-to-date with the vast bayesian community. bonus: it's hosted by alex andorra, one of the pymc core devs!"", 'https://codecov.io/gh/pymc-devs/pymc/branch/main/graph/badge.svg', 'https://codecov.io/gh/pymc-devs/pymc']",['https://codecov.io/gh/pymc-devs/pymc/branch/main/graph/badge.svg']
zipline,"['https://coveralls.io/repos/quantopian/zipline/badge.svg', 'https://coveralls.io/r/quantopian/zipline']",['https://coveralls.io/repos/quantopian/zipline/badge.svg']
statsmodels,"['https://codecov.io/gh/statsmodels/statsmodels/branch/main/graph/badge.svg', 'https://codecov.io/gh/statsmodels/statsmodels', 'https://coveralls.io/repos/github/statsmodels/statsmodels/badge.svg?branch=main', 'https://coveralls.io/github/statsmodels/statsmodels?branch=main']","['https://codecov.io/gh/statsmodels/statsmodels/branch/main/graph/badge.svg', 'https://coveralls.io/repos/github/statsmodels/statsmodels/badge.svg']"
astropy,"['https://codecov.io/gh/astropy/astropy/branch/main/graph/badge.svg', 'https://codecov.io/gh/astropy/astropy']",['https://codecov.io/gh/astropy/astropy/branch/main/graph/badge.svg']
matplotlib,['https://codecov.io/github/matplotlib/matplotlib/badge.svg?branch=main&service=github)](https://codecov.io/github/matplotlib/matplotlib?branch=main)'],['https://codecov.io/github/matplotlib/matplotlib/badge.svg']
bokeh,"['https://codecov.io/gh/bokeh/bokeh"" >', 'https://img.shields.io/codecov/c/github/bokeh/bokeh?logo=codecov&style=for-the-badge&token=bhezgkduaw""']",[]
pygal,['https://coveralls.io/repos/kozea/pygal/badge.svg?branch=master&service=github)](https://coveralls.io/github/kozea/pygal?branch=master)'],['https://coveralls.io/repos/kozea/pygal/badge.svg']
Blaze,"['https://coveralls.io/repos/blaze/blaze/badge.png', 'https://coveralls.io/r/blaze/blaze']",['https://coveralls.io/repos/blaze/blaze/badge.png']
emcee,"['https://coveralls.io/repos/github/dfm/emcee/badge.svg?branch=main&style=flat&v=2', 'https://coveralls.io/github/dfm/emcee?branch=main']",['https://coveralls.io/repos/github/dfm/emcee/badge.svg']
vispy,"['https://img.shields.io/coveralls/vispy/vispy/main.svg', 'https://coveralls.io/r/vispy/vispy?branch=main', 'https://img.shields.io/badge/contributor%20covenant-2.0-4baaaa.svg']","['https://img.shields.io/coveralls/vispy/vispy/main.svg', 'https://img.shields.io/badge/contributor%20covenant-2.0-4baaaa.svg']"
Seaborn,"['https://codecov.io/gh/mwaskom/seaborn/branch/master/graph/badge.svg)](https://codecov.io/gh/mwaskom/seaborn)', 'https://docs.pytest.org/)) and generate a coverage report.']",['https://codecov.io/gh/mwaskom/seaborn/branch/master/graph/badge.svg']
Superset,['https://codecov.io/github/apache/superset/coverage.svg?branch=master)](https://codecov.io/github/apache/superset)'],['https://codecov.io/github/apache/superset/coverage.svg']
Bowtie,"['https://codecov.io/gh/jwkvam/bowtie/branch/master/graph/badge.svg', 'https://codecov.io/gh/jwkvam/bowtie']",['https://codecov.io/gh/jwkvam/bowtie/branch/master/graph/badge.svg']
PyCM,"['https://codecov.io/gh/sepandhaghighi/pycm"">', 'https://codecov.io/gh/sepandhaghighi/pycm/branch/master/graph/badge.svg"" />']",['https://codecov.io/gh/sepandhaghighi/pycm/branch/master/graph/badge.svg']
dowel,['https://codecov.io/gh/rlworkgroup/dowel/branch/master/graph/badge.svg)](https://codecov.io/gh/rlworkgroup/dowel)'],['https://codecov.io/gh/rlworkgroup/dowel/branch/master/graph/badge.svg']
data-science-ipython-notebooks,"['https://raw.githubusercontent.com/donnemartin/data-science-ipython-notebooks/master/images/coversmall_alt.png"">']",['https://raw.githubusercontent.com/donnemartin/data-science-ipython-notebooks/master/images/coversmall_alt.png']
Keras Tuner,['https://codecov.io/gh/keras-team/keras-tuner/branch/master/graph/badge.svg)](https://codecov.io/gh/keras-team/keras-tuner)'],['https://codecov.io/gh/keras-team/keras-tuner/branch/master/graph/badge.svg']
Jina AI,"['https://codecov.io/gh/jina-ai/jina""><img alt=""codecov branch"" src=""https://img.shields.io/codecov/c/github/jina-ai/jina/master?&logo=codecov&logocolor=white&style=flat-square""></a>']",[]
SLM Lab,['https://img.shields.io/github/tag/kengz/slm-lab) ![ci](https://github.com/kengz/slm-lab/workflows/ci/badge.svg) [![maintainability](https://api.codeclimate.com/v1/badges/20c6a124c468b4d3e967/maintainability)](https://codeclimate.com/github/kengz/slm-lab/maintainability) [![test coverage](https://api.codeclimate.com/v1/badges/20c6a124c468b4d3e967/test_coverage)](https://codeclimate.com/github/kengz/slm-lab/test_coverage)'],[]
garage,['https://codecov.io/gh/rlworkgroup/garage/branch/master/graph/badge.svg)](https://codecov.io/gh/rlworkgroup/garage)'],['https://codecov.io/gh/rlworkgroup/garage/branch/master/graph/badge.svg']
