name,links,images,coverage badge,coverage
auto_ml,['https://coveralls.io/repos/github/ClimbsRocks/auto_ml/badge.svg?branch=master&cacheBuster=1)](https://coveralls.io/github/ClimbsRocks/auto_ml?branch=master&cacheBuster=1)'],https://coveralls.io/repos/github/ClimbsRocks/auto_ml/badge.svg,,56
machine_learning,['https://travis-ci.org/jeff1evesque/machine-learning.svg?branch=master)](https://travis-ci.org/jeff1evesque/machine-learning) [![Coverage Status](https://coveralls.io/repos/github/jeff1evesque/machine-learning/badge.svg?branch=master)](https://coveralls.io/github/jeff1evesque/machine-learning?branch=master)'],https://coveralls.io/repos/github/jeff1evesque/machine-learning/badge.svg,,29
apache_singa,['https://codecov.io/gh/apache/singa/branch/master/graph/badge.svg)](https://codecov.io/gh/apache/singa)'],https://codecov.io/gh/apache/singa/branch/master/graph/badge.svg,,73
mllib_in_apache_spark,['https://codecov.io/gh/apache/spark/branch/master/graph/badge.svg)](https://codecov.io/gh/apache/spark)'],https://codecov.io/gh/apache/spark/branch/master/graph/badge.svg,,92
towhee,"['https://app.codecov.io/gh/towhee-io/towhee"">', 'https://img.shields.io/codecov/c/github/towhee-io/towhee?style=flat"" alt=""coverage""/>']",https://img.shields.io/codecov/c/github/towhee-io/towhee?style=flat,,75
scikit-learn,"['https://codecov.io/gh/scikit-learn/scikit-learn/branch/main/graph/badge.svg?token=Pk8G9gg3y9', 'https://codecov.io/gh/scikit-learn/scikit-learn', 'https://scikit-learn.org/dev/developers/contributing.html#testing-and-improving-test-coverage']",https://codecov.io/gh/scikit-learn/scikit-learn/branch/main/graph/badge.svg,,97
metric-learn,"['https://codecov.io/gh/scikit-learn-contrib/metric-learn/branch/master/graph/badge.svg', 'https://codecov.io/gh/scikit-learn-contrib/metric-learn']",https://codecov.io/gh/scikit-learn-contrib/metric-learn/branch/master/graph/badge.svg,,96
Lasagne,"['https://img.shields.io/coveralls/Lasagne/Lasagne.svg', 'https://coveralls.io/r/Lasagne/Lasagne']",https://img.shields.io/coveralls/Lasagne/Lasagne.svg,,100
chainer,['https://img.shields.io/coveralls/chainer/chainer.svg)](https://coveralls.io/github/chainer/chainer)'],https://img.shields.io/coveralls/chainer/chainer.svg,,100
topik,['https://coveralls.io/repos/ContinuumIO/topik/badge.svg?branch=master&service=github)](https://coveralls.io/github/ContinuumIO/topik?branch=master)'],https://coveralls.io/repos/ContinuumIO/topik/badge.svg,,94
nilearn,"['https://codecov.io/gh/nilearn/nilearn/branch/main/graph/badge.svg', 'https://codecov.io/gh/nilearn/nilearn']",https://codecov.io/gh/nilearn/nilearn/branch/main/graph/badge.svg,,91
imbalanced-learn,"['https://codecov.io/gh/scikit-learn-contrib/imbalanced-learn/branch/master/graph/badge.svg', 'https://codecov.io/gh/scikit-learn-contrib/imbalanced-learn']",https://codecov.io/gh/scikit-learn-contrib/imbalanced-learn/branch/master/graph/badge.svg,,93
shogun,['https://codecov.io/gh/shogun-toolbox/shogun/branch/develop/graph/badge.svg)](https://codecov.io/gh/shogun-toolbox/shogun)'],https://codecov.io/gh/shogun-toolbox/shogun/branch/develop/graph/badge.svg,,53
skll,"['https://codecov.io/gh/EducationalTestingService/skll/branch/main/graph/badge.svg', 'https://codecov.io/gh/EducationalTestingService/skll']",https://codecov.io/gh/EducationalTestingService/skll/branch/main/graph/badge.svg,,97
mlxtend,['https://codecov.io/gh/rasbt/mlxtend/branch/master/graph/badge.svg)](https://codecov.io/gh/rasbt/mlxtend)'],https://codecov.io/gh/rasbt/mlxtend/branch/master/graph/badge.svg,,77
tpot,"['https://coveralls.io/repos/github/EpistasisLab/tpot/badge.svg?branch=master)](https://coveralls.io/github/EpistasisLab/tpot?branch=master)', 'https://coveralls.io/repos/github/EpistasisLab/tpot/badge.svg?branch=development)](https://coveralls.io/github/EpistasisLab/tpot?branch=development)']",https://coveralls.io/repos/github/EpistasisLab/tpot/badge.svg,,96
orange,['https://img.shields.io/endpoint.svg?url=https%3A%2F%2Factions-badge.atrox.dev%2Fbiolab%2Forange3%2Fbadge&label=build)](https://actions-badge.atrox.dev/biolab/orange3/goto) [![codecov](https://img.shields.io/codecov/c/github/biolab/orange3)](https://codecov.io/gh/biolab/orange3) [![Contributor count](https://img.shields.io/github/contributors-anon/biolab/orange3)](https://github.com/biolab/orange3/graphs/contributors) [![Latest GitHub commit](https://img.shields.io/github/last-commit/biolab/orange3)](https://github.com/biolab/orange3/commits/master)'],https://img.shields.io/codecov/c/github/biolab/orange3,,87
skbayes,['https://coveralls.io/repos/github/AmazaspShumik/sklearn-bayes/badge.svg)](https://coveralls.io/github/AmazaspShumik/sklearn-bayes)'],https://coveralls.io/repos/github/AmazaspShumik/sklearn-bayes/badge.svg,,51
pytorch_lightning,['https://codecov.io/gh/Lightning-AI/lightning/branch/master/graph/badge.svg?token=SmzX8mnKlA)](https://codecov.io/gh/Lightning-AI/lightning)'],https://codecov.io/gh/Lightning-AI/lightning/branch/master/graph/badge.svg,,82
pytorch_lightning_bolts,['https://codecov.io/gh/Lightning-AI/lightning-bolts/branch/master/graph/badge.svg?token=O8p0qhvj90)](https://codecov.io/gh/Lightning-AI/lightning-bolts)'],https://codecov.io/gh/Lightning-AI/lightning-bolts/branch/master/graph/badge.svg,,76
skorch,['https://github.com/skorch-dev/skorch/blob/master/assets/coverage.svg'],https://github.com/skorch-dev/skorch/blob/master/assets/coverage.svg,,98
edward,['https://coveralls.io/repos/github/blei-lab/edward/badge.svg?branch=master&cacheBuster=1)](https://coveralls.io/github/blei-lab/edward?branch=master)'],https://coveralls.io/repos/github/blei-lab/edward/badge.svg,,90
modAL,['https://travis-ci.org/modAL-python/modAL.svg?branch=master)](https://travis-ci.org/modAL-python/modAL) [![codecov-master](https://codecov.io/gh/modAL-python/modAL/branch/master/graph/badge.svg)](https://codecov.io/gh/modAL-python/modAL) [![readthedocs](https://readthedocs.org/projects/modal-python/badge/?version=latest)](http://modal-python.readthedocs.io/en/latest/?badge=latest)'],https://codecov.io/gh/modAL-python/modAL/branch/master/graph/badge.svg,,97
cogitare,"['https://codecov.io/gh/cogitare-ai/cogitare"">', 'https://codecov.io/gh/cogitare-ai/cogitare/branch/master/graph/badge.svg"" />']",https://codecov.io/gh/cogitare-ai/cogitare/branch/master/graph/badge.svg,,92
mlens,['https://coveralls.io/repos/github/flennerhag/mlens/badge.svg?branch=master)](https://coveralls.io/github/flennerhag/mlens?branch=master)'],https://coveralls.io/repos/github/flennerhag/mlens/badge.svg,,92
stellargraph,"['https://codecov.io/gh/stellargraph/stellargraph""><img src=""https://codecov.io/gh/stellargraph/stellargraph/branch/develop/graph/badge.svg"" /></a>']",https://codecov.io/gh/stellargraph/stellargraph/branch/develop/graph/badge.svg,,87
cornac,['https://img.shields.io/codecov/c/github/PreferredAI/cornac/master.svg?logo=codecov)](https://codecov.io/gh/PreferredAI/cornac)'],https://img.shields.io/codecov/c/github/PreferredAI/cornac/master.svg,,98
scikit-multiflow,['https://codecov.io/gh/scikit-multiflow/scikit-multiflow/branch/master/graph/badge.svg)](https://codecov.io/gh/scikit-multiflow/scikit-multiflow)'],https://codecov.io/gh/scikit-multiflow/scikit-multiflow/branch/master/graph/badge.svg,,87
bayeso,['https://coveralls.io/repos/github/jungtaekkim/bayeso/badge.svg?branch=main)](https://coveralls.io/github/jungtaekkim/bayeso?branch=main)'],https://coveralls.io/repos/github/jungtaekkim/bayeso/badge.svg,,100
sktime,['https://img.shields.io/github/workflow/status/sktime/sktime/build-and-test?logo=github)](https://github.com/sktime/sktime/actions?query=workflow%3Abuild-and-test) [![!codecov](https://img.shields.io/codecov/c/github/sktime/sktime?label=codecov&logo=codecov)](https://codecov.io/gh/sktime/sktime) [![readthedocs](https://img.shields.io/readthedocs/sktime?logo=readthedocs)](https://www.sktime.org/en/latest/?badge=latest) [![platform](https://img.shields.io/conda/pn/conda-forge/sktime)](https://github.com/sktime/sktime) |'],https://img.shields.io/codecov/c/github/sktime/sktime?label=codecov&logo=codecov,,83
gradio,['https://circleci.com/gh/gradio-app/gradio.svg?style=svg)](https://circleci.com/gh/gradio-app/gradio)  [![PyPI version](https://badge.fury.io/py/gradio.svg)](https://badge.fury.io/py/gradio)  [![codecov](https://codecov.io/gh/gradio-app/gradio/branch/master/graph/badge.svg?token=NNVPX9KEGS)](https://codecov.io/gh/gradio-app/gradio) [![PyPI - Downloads](https://img.shields.io/pypi/dm/gradio)](https://pypi.org/project/gradio/) [![Twitter Follow](https://img.shields.io/twitter/follow/gradio.svg?style=social&label=Follow)](https://twitter.com/gradio)'],https://codecov.io/gh/gradio-app/gradio/branch/master/graph/badge.svg,,88
Hub,"['https://codecov.io/gh/activeloopai/Hub/branch/master""><img src=""https://codecov.io/gh/activeloopai/Hub/branch/master/graph/badge.svg"" alt=""codecov"" height=""18""></a>']",https://codecov.io/gh/activeloopai/Hub/branch/master/graph/badge.svg,,90
FEDOT,"['https://codecov.io/gh/nccr-itmo/FEDOT/branch/master/graph/badge.svg', 'https://codecov.io/gh/nccr-itmo/FEDOT']",https://codecov.io/gh/nccr-itmo/FEDOT/branch/master/graph/badge.svg,,88
Sklearn-genetic-opt,"['https://codecov.io/gh/rodrigo-arenas/Sklearn-genetic-opt/branch/master/graphs/badge.svg?branch=master&service=github', 'https://codecov.io/github/rodrigo-arenas/Sklearn-genetic-opt?branch=master']",https://codecov.io/gh/rodrigo-arenas/Sklearn-genetic-opt/branch/master/graphs/badge.svg,,99
optuna,['https://codecov.io/gh/optuna/optuna/branch/master/graph/badge.svg)](https://codecov.io/gh/optuna/optuna/branch/master)'],https://codecov.io/gh/optuna/optuna/branch/master/graph/badge.svg,,90
deepchecks,"['https://coveralls.io/repos/github/deepchecks/deepchecks/badge.svg?branch=main', 'https://coveralls.io/github/deepchecks/deepchecks?branch=main']",https://coveralls.io/repos/github/deepchecks/deepchecks/badge.svg,,93
mars,"['https://codecov.io/gh/mars-project/mars/branch/master/graph/badge.svg', 'https://codecov.io/gh/mars-project/mars']",https://codecov.io/gh/mars-project/mars/branch/master/graph/badge.svg,,94
networkx,"['https://codecov.io/gh/networkx/networkx/branch/main/graph/badge.svg', 'https://app.codecov.io/gh/networkx/networkx/branch/main']",https://codecov.io/gh/networkx/networkx/branch/main/graph/badge.svg,,95
pandas,['https://codecov.io/github/pandas-dev/pandas/coverage.svg?branch=main)](https://codecov.io/gh/pandas-dev/pandas)'],https://codecov.io/github/pandas-dev/pandas/coverage.svg,,93
open_mining,"['https://coveralls.io/repos/github/mining/mining/badge.svg?branch=master', 'https://coveralls.io/github/mining/mining?branch=master']",https://coveralls.io/repos/github/mining/mining/badge.svg,,15
pymc,"['https://codecov.io/gh/pymc-devs/pymc/branch/main/graph/badge.svg', 'https://codecov.io/gh/pymc-devs/pymc']",https://codecov.io/gh/pymc-devs/pymc/branch/main/graph/badge.svg,,94
zipline,"['https://coveralls.io/repos/quantopian/zipline/badge.svg', 'https://coveralls.io/r/quantopian/zipline']",https://coveralls.io/repos/quantopian/zipline/badge.svg,,88
statsmodels,"['https://codecov.io/gh/statsmodels/statsmodels/branch/main/graph/badge.svg', 'https://codecov.io/gh/statsmodels/statsmodels', 'https://coveralls.io/repos/github/statsmodels/statsmodels/badge.svg?branch=main', 'https://coveralls.io/github/statsmodels/statsmodels?branch=main']",https://codecov.io/gh/statsmodels/statsmodels/branch/main/graph/badge.svg,,87
astropy,"['https://codecov.io/gh/astropy/astropy/branch/main/graph/badge.svg', 'https://codecov.io/gh/astropy/astropy']",https://codecov.io/gh/astropy/astropy/branch/main/graph/badge.svg,,91
matplotlib,"['https://codecov.io/github/matplotlib/matplotlib/badge.svg?branch=main&service=github', 'https://codecov.io/github/matplotlib/matplotlib?branch=main']",https://codecov.io/github/matplotlib/matplotlib/badge.svg,,87
bokeh,"['https://codecov.io/gh/bokeh/bokeh"" >', 'https://img.shields.io/codecov/c/github/bokeh/bokeh?logo=codecov&style=for-the-badge&token=bhEzGkDUaw""']",https://img.shields.io/codecov/c/github/bokeh/bokeh?logo=codecov&style=for-the-badge&token=bhEzGkDUaw,,92
pygal,['https://coveralls.io/repos/Kozea/pygal/badge.svg?branch=master&service=github)](https://coveralls.io/github/Kozea/pygal?branch=master)'],https://coveralls.io/repos/Kozea/pygal/badge.svg,,93
blaze,"['https://coveralls.io/repos/blaze/blaze/badge.png', 'https://coveralls.io/r/blaze/blaze']",https://coveralls.io/repos/blaze/blaze/badge.png,,90
emcee,"['https://coveralls.io/repos/github/dfm/emcee/badge.svg?branch=main&style=flat&v=2', 'https://coveralls.io/github/dfm/emcee?branch=main']",https://coveralls.io/repos/github/dfm/emcee/badge.svg,,96
vispy,"['https://img.shields.io/coveralls/vispy/vispy/main.svg', 'https://coveralls.io/r/vispy/vispy?branch=main', 'https://img.shields.io/badge/Contributor%20Covenant-2.0-4baaaa.svg']",https://img.shields.io/coveralls/vispy/vispy/main.svg,,74
seaborn,['https://codecov.io/gh/mwaskom/seaborn/branch/master/graph/badge.svg)](https://codecov.io/gh/mwaskom/seaborn)'],https://codecov.io/gh/mwaskom/seaborn/branch/master/graph/badge.svg,,98
superset,['https://codecov.io/github/apache/superset/coverage.svg?branch=master)](https://codecov.io/github/apache/superset)'],https://codecov.io/github/apache/superset/coverage.svg,,67
hdbscan,"['https://coveralls.io/repos/github/scikit-learn-contrib/hdbscan/badge.svg?branch=master', 'https://coveralls.io/github/scikit-learn-contrib/hdbscan?branch=master']",https://coveralls.io/repos/github/scikit-learn-contrib/hdbscan/badge.svg,,88
bowtie,"['https://codecov.io/gh/jwkvam/bowtie/branch/master/graph/badge.svg', 'https://codecov.io/gh/jwkvam/bowtie']",https://codecov.io/gh/jwkvam/bowtie/branch/master/graph/badge.svg,,73
pycm,"['https://codecov.io/gh/sepandhaghighi/pycm"">', 'https://codecov.io/gh/sepandhaghighi/pycm/branch/master/graph/badge.svg"" />']",https://codecov.io/gh/sepandhaghighi/pycm/branch/master/graph/badge.svg,,99
dowel,['https://codecov.io/gh/rlworkgroup/dowel/branch/master/graph/badge.svg)](https://codecov.io/gh/rlworkgroup/dowel)'],https://codecov.io/gh/rlworkgroup/dowel/branch/master/graph/badge.svg,,94
keras_tuner,['https://codecov.io/gh/keras-team/keras-tuner/branch/master/graph/badge.svg)](https://codecov.io/gh/keras-team/keras-tuner)'],https://codecov.io/gh/keras-team/keras-tuner/branch/master/graph/badge.svg,,94
jina_ai,"['https://codecov.io/gh/jina-ai/jina""><img alt=""Codecov branch"" src=""https://img.shields.io/codecov/c/github/jina-ai/jina/master?&logo=Codecov&logoColor=white&style=flat-square""></a>']",https://img.shields.io/codecov/c/github/jina-ai/jina/master?&logo=Codecov&logoColor=white&style=flat-square,,68
slm_lab,['https://img.shields.io/github/tag/kengz/slm-lab) ![CI](https://github.com/kengz/SLM-Lab/workflows/CI/badge.svg) [![Maintainability](https://api.codeclimate.com/v1/badges/20c6a124c468b4d3e967/maintainability)](https://codeclimate.com/github/kengz/SLM-Lab/maintainability) [![Test Coverage](https://api.codeclimate.com/v1/badges/20c6a124c468b4d3e967/test_coverage)](https://codeclimate.com/github/kengz/SLM-Lab/test_coverage)'],https://api.codeclimate.com/v1/badges/20c6a124c468b4d3e967/test_coverage,,71
garage,['https://codecov.io/gh/rlworkgroup/garage/branch/master/graph/badge.svg)](https://codecov.io/gh/rlworkgroup/garage)'],https://codecov.io/gh/rlworkgroup/garage/branch/master/graph/badge.svg,,91
